city_name,country,confirmed_bookings_count
San Francisco,United States,43
New York,United States,38
Atlanta,United States,19
Chicago,United States,18
Orlando,United States,17
Mountain View,United States,15
Tampa,United States,10
Salt Lake City,United States,10
Scottsdale,United States,10
Nashville,United States,9
Hamburg,Germany,9
Boston,United States,9
Las Vegas,United States,8
Portland,United States,8
Lenexa,United States,7
Woodbridge Township,United States,7
San Diego,United States,7
Dallas,United States,7
Ciudad de México,Mexico,7
Charlotte,United States,7
Indianapolis,United States,7
Dania Beach,United States,7
San Jose,United States,7
Washington,United States,7
Colonie,United States,6
Houston,United States,6
San Antonio,United States,6
Basel,Switzerland,6
East Syracuse,United States,6
Temecula,United States,6
Clovis,United States,6
Harahan,United States,6
Perth,Australia,5
Melbourne,Australia,5
Cardiff,United Kingdom,5
Durham,United States,5
Los Angeles,United States,5
Edison,United States,5
Sydney,Australia,5
Palo Alto,United States,5
Denver,United States,4
Savannah,United States,4
Princeton,United States,4
Sioux Falls,United States,4
Brisbane City,Australia,4
Oakbrook Terrace,United States,4
West End,United Kingdom,4
Omaha,United States,4
Leeds,United Kingdom,4
Austin,United States,4
Bentonville,United States,4
Meridian charter Township,United States,4
London,United Kingdom,4
Irving,United States,4
Virginia Beach,United States,4
Madison,United States,4
Roseville,United States,4
New Orleans,United States,4
Seattle,United States,4
Reno,United States,4
Richmond,United States,4
Kingston upon Thames,United Kingdom,4
Moore,United States,4
DuPont,United States,4
Mason,United States,4
Windsor,United States,4
Calgary,Canada,3
Jacksonville,United States,3
Irvine,United States,3
Blue Bell,United States,3
Raleigh,United States,3
North Wales,United States,3
Wien,Austria,3
Alexandria,United States,3
Columbus,United States,3
Westwood,United States,3
Bettendorf,United States,3
Shenandoah,United States,3
Dunwoody,United States,3
Chermside,Australia,3
Phoenix,United States,3
Sacramento,United States,3
Rahway,United States,3
Santa Clara,United States,3
Olathe,United States,3
Tulsa,United States,3
Miami,United States,3
Culver City,United States,3
Cherry Hill,United States,3
Dublin,United States,3
Franklin,United States,3
Greenville,United States,3
Napa,United States,2
Round Rock,United States,2
Dresden,Germany,2
Spokane,United States,2
Birmingham,United States,2
Moonee Ponds,Australia,2
Little Rock,United States,2
Arlington,United States,2